"pathway"	"HIV_T"	"CMV_T"	"NT_T"	"HIV_eg"	"NT_eg"	"CMV_eg"
"M1"	-2.43626914578786	4.1777950521683	-3.71651868569326	-1.34915065925827	-2.8357538493932	-3.07181145865066
"M10"	3.25089758066752	-1.4522754514554	3.42699890149606	-3.5173953865281	-2.77702437349872	-2.55121658505952
"M11"	3.22215371271125	-3.14361735647993	3.58433049398573	-2.83086437674141	-2.34333133070054	-0.83747539804707
"M12"	0.636185694710843	-1.86831562647299	2.0983388792466	-0.691925470577972	0.833564922813835	-1.24978936774421
"M13"	-3.06053904518455	2.15835916731168	-1.86144776410116	1.84618481378809	1.66659916617009	2.02682438279623
"M14"	3.54206683332926	1.14228452960091	1.29870436871857	-1.60037096565561	-3.34517459406055	-2.7625485473745
"M15"	-2.28866827820458	2.11195971286969	-0.499777805947474	-1.67067736435555	-0.693289596392577	-0.609784105321806
"M16"	-2.98829028958648	2.62392833402948	-1.39595247083153	-0.584243701305671	-1.99278463160567	-1.67762681690604
"M2"	0.526799693296086	-3.04755180253934	-1.76406431445008	3.12465850885001	3.37465457760474	1.66216144089789
"M3"	-2.84308667525573	-3.18083210416749	-1.7196248013742	3.26014417171367	3.86518012677312	4.17800411434916
"M4"	3.03553150020542	2.60357173475699	0.825514720250319	-3.61272714991091	-3.38608760864991	-2.98333915037296
"M5"	2.1151895173077	-4.61731015151142	3.83658957566093	2.18427885276347	2.30844322815272	3.41265412183239
"M6"	3.28841022214465	-4.43574360818685	3.71025944732112	1.64931602199553	0.795954766680243	3.24456825245435
"M7"	-2.18133101372227	2.72215464310388	-1.78299827030413	-1.70132008523371	-0.990665418945756	-2.67696744855895
"M8"	-2.86086778041716	-1.94812991779999	1.04307416373825	2.48492970567316	2.80855704461758	2.60021138623679
"M9"	2.12623541083237	-2.4140687490922	-0.593438830995997	-0.557115997192987	2.45889926681803	1.27235707386718
